item,cop,parcel
Land (asking price),390000000.0,G
"Purchase costs (notary/registry/beneficencia, 2.5%)",9750000.0,G
Construction — 400 m² (finished),1470000000.0,G
Design + licencia de construcción,73500000.0,G
Building pads / earthworks,20000000.0,G
Internal access track,25000000.0,G
Perimeter fencing,20000000.0,G
Water — potabilisation plant,13000000.0,G
"Water — storage, pump, distribution",8000000.0,G
Water — well/aljibe deepening,12000000.0,G
Septic — 4 systems,28000000.0,G
Grid connection (EBSA),15000000.0,G
Solar PV 5 kWp + 5 kWh battery,32000000.0,G
Starlink hardware,1599000.0,G
"Karst contingency — geotech, sealed septic, foundations",45000000.0,G
Contingency 15%,324427350.0,G
