item,cop,parcel
Land (asking price),720000000.0,H
"Purchase costs (notary/registry/beneficencia, 2.5%)",18000000.0,H
Construction — 520 m² (finished),1911000000.0,H
Design + licencia de construcción,95550000.0,H
Building pads / earthworks,20000000.0,H
Internal access track,25000000.0,H
Perimeter fencing,0.0,H
Water — potabilisation plant,13000000.0,H
"Water — storage, pump, distribution",8000000.0,H
Water — well/aljibe deepening,0.0,H
Septic — 4 systems,28000000.0,H
Grid connection (EBSA),15000000.0,H
Solar PV 5 kWp + 5 kWh battery,32000000.0,H
Starlink hardware,1599000.0,H
Contingency 15%,433072350.0,H
